"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Actb",0,-3.57969916182681,0.639,0.953,0
"Actc1",0,2.85694765532712,0.998,0.338,0
"Myl2",0,3.39066628610087,0.995,0.336,0
"Myl3",0,3.21967027648947,0.993,0.315,0
"Slc25a4",0,2.61464533180663,0.998,0.69,0
"Sparc",0,-3.31133543432057,0.808,0.946,0
"Tnnt2",0,2.65483705868735,0.995,0.437,0
"Tpm1",0,2.05437876107864,0.997,0.602,0
"Tnni1",4.94065645841247e-324,4.21597739301298,0.952,0.021,1.23387954392393e-319
"Fabp3",1.97626258336499e-323,3.31394157981699,0.99,0.248,4.93551817569572e-319
"Tmsb4x",2.79838781804482e-320,-3.21150500701145,0.805,0.94,6.98869373678513e-316
"Acadl",1.79454082681836e-315,3.09177895205687,0.978,0.242,4.48168626089617e-311
"Myh6",2.79831687515873e-315,3.25905852549753,0.99,0.221,6.98851656402142e-311
"Atp5a1",1.22827111481086e-313,2.51322130978214,0.992,0.499,3.06748428212864e-309
"Mdh1",2.31700540432205e-313,2.93945560751488,0.988,0.3,5.7864892967539e-309
"Tnnc1",6.42723221800962e-310,2.95700469801247,0.995,0.238,1.60513697412572e-305
"mt-Nd1",7.67798893232193e-299,2.43607665632628,0.984,0.961,1.91750095595808e-294
"Atp5b",3.04009363853119e-298,2.3229941375194,0.991,0.593,7.59232985286779e-294
"Tnni3",3.24993211176345e-298,2.82204956852989,0.995,0.223,8.11638045591804e-294
"Pln",1.74830128741566e-287,2.76109924565197,0.989,0.236,4.36620763519188e-283
"Mb",1.21244929429025e-286,2.6489316925643,0.996,0.328,3.02797086756047e-282
"Fabp4",1.78929720984964e-278,-5.08299917841315,0.324,0.797,4.46859085187849e-274
"Igfbp7",2.03359247163363e-270,-4.40068125262722,0.153,0.863,5.07869383865782e-266
"Ckm",8.63232677405937e-262,2.85850832513506,0.959,0.124,2.15583728855359e-257
"Nexn",7.44010951888579e-255,3.01014840334034,0.955,0.188,1.85809295124654e-250
"Eno3",1.33528790885324e-254,2.9006921638787,0.947,0.116,3.33474802357009e-250
"Ptma",2.05970627277231e-253,-3.33252619068149,0.325,0.794,5.14391044562157e-249
"Actn2",2.46673618762973e-253,2.96738434268282,0.928,0.084,6.16042695498649e-249
"mt-Cytb",2.33410344697028e-251,2.08372630650589,0.988,0.976,5.82918994846359e-247
"Cox6a2",1.31584588345887e-250,3.06685787116698,0.95,0.133,3.28619350935017e-246
"Idh2",1.07640289039261e-241,2.39697043322525,0.969,0.319,2.6882085784665e-237
"Popdc2",2.39545698630753e-240,2.77486492613504,0.885,0.045,5.98241427760441e-236
"Aco2",6.63438113669982e-240,2.63632092331363,0.942,0.227,1.65687034507941e-235
"Sparcl1",6.42797806521339e-239,-4.027661618182,0.191,0.801,1.60532324200639e-234
"Smpx",1.15177732741332e-235,2.81283024405659,0.926,0.105,2.87644869748202e-231
"Calm1",1.43562734664049e-235,-2.20946501069417,0.822,0.921,3.58533573549996e-231
"Chchd10",2.37108485253675e-234,2.9193356611929,0.941,0.152,5.92154731072527e-230
"Atp1b1",7.54320569341361e-233,2.56299763204105,0.893,0.064,1.88384018987312e-228
"Pfn1",1.11046972586505e-232,-2.81108997505139,0.383,0.76,2.77328709337539e-228
"Col4a1",3.04685522759352e-232,-2.77152773436713,0.515,0.837,7.60921624539206e-228
"mt-Nd2",5.4270740095067e-232,2.0643471415851,0.985,0.884,1.3553574631342e-227
"Casq2",5.90037711209563e-232,2.70047038465072,0.898,0.073,1.47356017997476e-227
"Cox5a",5.84098180949026e-231,2.44674086800974,0.983,0.514,1.4587267971021e-226
"Csrp3",2.80489289090621e-230,2.5153355761555,0.95,0.158,7.00493950574916e-226
"Atp5f1",1.06548685519926e-227,2.25415997981815,0.975,0.469,2.66094687217464e-223
"Cox4i1",9.39354402516655e-226,1.98634400192651,0.991,0.771,2.3459436848451e-221
"Mybpc3",1.6784950416645e-225,2.34833022419035,0.923,0.113,4.19187351705292e-221
"Hopx",2.00686129735303e-224,2.65109234309681,0.918,0.12,5.01193540400946e-220
"Atp2a2",1.11875129465437e-220,2.58097858555185,0.937,0.206,2.79396948326982e-216
"Cyc1",2.31390458453388e-219,2.54401906470329,0.957,0.287,5.77874530941491e-215
"Myh7",9.35450515501159e-218,3.23746058172538,0.895,0.092,2.33619411741259e-213
"Cox7b",1.70630238384943e-215,2.40851162171688,0.973,0.535,4.26131957342558e-211
"Ankrd1",5.44624588850275e-210,2.86907067150097,0.922,0.152,1.36014544819468e-205
"mt-Nd4",8.42535872875739e-210,1.8521597976391,0.978,0.878,2.10414908891987e-205
"Sh3bgr",1.98615102379906e-208,2.35670072723297,0.896,0.109,4.96021356683578e-204
"Hadha",2.15127290710289e-208,2.4845037003925,0.928,0.251,5.37258895819877e-204
"Trdn",2.19383073362397e-207,2.56372987164339,0.879,0.092,5.4788728741525e-203
"Ldb3",4.6942231022222e-207,2.15158367794068,0.854,0.066,1.17233527754897e-202
"Uqcrfs1",1.10469111133875e-206,2.19344191827409,0.959,0.276,2.75885558145739e-202
"Ldhb",4.78953132348523e-206,2.39422218368993,0.925,0.18,1.1961375527272e-201
