"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl13",3.88972680114504e-38,-1.67221782096022,0.823,0.893,9.71420371317963e-34
"Myl2",2.19805491575914e-36,2.08454538187764,0.792,0.1,5.48942234661686e-32
"Iigp1",2.11102470800894e-35,4.04572497780076,0.698,0.078,5.27207310578153e-31
"Rps23",4.59447790268111e-32,-2.13915994031258,0.375,0.79,1.14742491141558e-27
"Rpl10",1.45355032621681e-30,-2.20369455081418,0.385,0.712,3.63009658469387e-26
"Rpl36",9.20821791219253e-30,-2.10979182688864,0.385,0.694,2.29966034139096e-25
"Rps27",1.29163127020563e-29,-2.0721981037728,0.385,0.861,3.22571993421155e-25
"Rps6",1.83324684330213e-29,-2.44141717158429,0.208,0.698,4.57835066646274e-25
"Tnnt2",6.69564324355611e-28,1.89584752853073,0.792,0.167,1.6721699436457e-23
"B2m",3.98084474919078e-27,1.74174683768088,0.969,0.836,9.94176167662906e-23
"Fau",2.7919666777808e-26,-1.77589507065454,0.469,0.747,6.97265758108978e-22
"Cxcl10",3.16516906438382e-26,2.48717630643904,0.385,0,7.90469322139216e-22
"Gm9800",3.60115702407007e-26,1.84218228608529,0.677,0.107,8.99352955191259e-22
"Serpina3f",1.82863790750892e-25,1.63842527820621,0.375,0,4.56684031021278e-21
"Rps27a",6.51622426828781e-25,-1.78645898942586,0.427,0.826,1.6273618487622e-20
"Rpl17",1.09786642434936e-24,-1.84947172485722,0.406,0.737,2.7418116081701e-20
"Gm12250",1.62018680378844e-24,2.41637328076277,0.396,0.004,4.04625452378124e-20
"Gbp8",1.96730343530793e-24,1.8979687647754,0.458,0.018,4.91314359933803e-20
"mt-Rnr2",2.70243157307466e-24,-1.4020026867715,1,1,6.74905261059665e-20
"Gm4951",3.19228661283607e-24,1.80879823801876,0.396,0.004,7.9724165868968e-20
"F830016B08Rik",5.86441022464831e-24,1.88657852811451,0.354,0,1.46457780950367e-19
"Rps19-ps11",5.86441022464831e-24,1.03716359838586,0.354,0,1.46457780950367e-19
"H2-Aa",1.08131060722423e-23,2.27255369256324,0.417,0.011,2.70046511048179e-19
"Gbp4",1.10867642403906e-23,2.44664647880581,0.615,0.093,2.76880850139516e-19
"Rpl31",2.50861050195543e-23,-1.4056140961515,0.583,0.74,6.26500386758349e-19
"Myl3",9.56274868845207e-23,1.62522106691685,0.604,0.089,2.38820085745402e-18
"Pfn1",9.56671130330723e-23,-1.51741788952451,0.615,0.673,2.38919048088795e-18
"Igtp",1.09835172881723e-22,2.00581654679252,0.469,0.028,2.74302360754815e-18
"Gbp10",1.34166068260899e-22,1.7277137155579,0.406,0.011,3.35066338874769e-18
"H2-Ab1",1.51317738965312e-22,2.49241722174263,0.417,0.014,3.77900921291969e-18
"Cd74",3.66447308531842e-22,2.60134231506246,0.365,0.004,9.15165508327421e-18
