"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Myl2",1.97129966247715e-28,3.60828522136643,0.94,0.187,4.92312377707043e-24
"Hba-a1",1.23836078002582e-21,-1.04780424154558,0.94,1,3.09268221203647e-17
"Tnnc1",8.93184194182822e-21,3.03920276183431,0.72,0.099,2.23063820655218e-16
"Actc1",1.7539594999223e-20,3.63813078984825,0.78,0.152,4.38033845510596e-16
"H19",8.1200283795075e-20,2.04574686658154,0.86,0.278,2.0278958874982e-15
"Hbb-bs",3.25909160174246e-19,-1.24713911595572,0.96,1,8.13925536619161e-15
"Rpl13",1.86601829373026e-18,-1.41033941470733,0.78,0.922,4.66019408676196e-14
"Ftl1",8.04438542334129e-18,-1.86851056486555,0.46,0.653,2.00900481562525e-13
"Myl3",2.07347382576049e-17,3.54692519559312,0.76,0.175,5.17829353245424e-13
"Rps27",1.41606239246421e-16,-1.74378721135065,0.48,0.833,3.53647421894013e-12
"mt-Rnr2",3.23637416198247e-16,-0.850010136136801,1,1,8.08252083213503e-12
"Fabp3",1.22515389950449e-15,3.00298358846432,0.66,0.116,3.05969934862251e-11
"Rps18",1.47582881740944e-15,-1.62751349778264,0.48,0.722,3.68573488859833e-11
"Rps16",1.74200827262586e-15,-1.42839061232158,0.62,0.775,4.35049146005583e-11
"Tnni1",1.7621105289119e-15,1.77277129140538,0.28,0,4.40069483490457e-11
"Gm12250",2.08930156442514e-15,1.83107845609821,0.34,0.005,5.21782172699535e-11
"Myh6",2.35123984260379e-15,2.32334696115217,0.62,0.096,5.87198638291871e-11
"Rrm2",4.08783583082268e-15,1.24194832852001,0.4,0.018,1.02089612038966e-10
"Cox7b",6.97646979391858e-15,1.68805290133821,0.92,0.425,1.74230356633323e-10
"Rps6",7.60218167430548e-15,-1.81969996232919,0.36,0.673,1.89856885134105e-10
"Cxcl10",2.75717973290047e-14,1.6164547071752,0.3,0.003,6.88578066494563e-10
"Mb",5.82344580844262e-14,3.10908625346689,0.64,0.137,1.45434735620046e-09
"Top2a",6.05653268040228e-14,1.59465358277145,0.54,0.073,1.51255847160366e-09
"Iigp1",8.80061978709165e-14,3.42570533941208,0.44,0.051,2.19786678562827e-09
"Ube2c",9.10145464697133e-14,1.17160589496414,0.48,0.053,2.27299728353462e-09
"Igtp",9.6349634475342e-14,1.45008845580439,0.36,0.015,2.40623577138719e-09
"Rpl35",1.97073730975634e-13,-1.28371012721052,0.58,0.597,4.92171935738549e-09
"Pfn1",2.23115583385599e-13,-1.67073351286385,0.46,0.706,5.57208857947196e-09
"Serpina3g",2.68178183531652e-13,2.00255286928305,0.34,0.013,6.69748195551947e-09
"Cxcl9",1.29104530229086e-12,2.27713466247601,0.3,0.008,3.22425653794119e-08
"Birc5",1.58574307672156e-12,1.11958153268587,0.4,0.035,3.96023475980443e-08
"Rps23",1.75618424835966e-12,-1.46289318513585,0.5,0.825,4.38589454185342e-08
"Pmpcb",1.95316633316362e-12,0.758011489166306,0.56,0.111,4.87783760044282e-08
"Nppa",2.32639929291322e-12,2.74907287872302,0.4,0.033,5.80994959412146e-08
"Rpl10",2.5142601654618e-12,-1.61867664013908,0.4,0.737,6.2791133372243e-08
