"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rpl13",1.66403942246033e-17,-1.87926614686336,0.737,0.99,4.15577205365242e-13
"Rps27",1.9998954731466e-16,-2.20472137447284,0.447,0.929,4.99453895463632e-12
"Rps18",1.95114765965552e-15,-2.43956817660619,0.421,0.848,4.87279616522369e-11
"Rpl10",8.85457624138854e-15,-2.16178339458657,0.5,0.909,2.21134187052438e-10
"Rpl36",1.28553681161327e-13,-2.23382350240257,0.395,0.859,3.21049963332298e-09
"Rps6",4.71620333056591e-13,-2.58960524908983,0.211,0.798,1.17782461977553e-08
"Rpl9",3.11371360002783e-12,-1.85467106801142,0.395,0.919,7.77618834470951e-08
"Rpl36a",6.57809728975483e-12,-2.12979914680621,0.447,0.818,1.64281401714337e-07
"Actc1",3.07582433780852e-11,1.74233282758079,0.605,0.051,7.681563701243e-07
"Rps23",6.31505033511805e-11,-1.69592558363696,0.5,0.909,1.57712067069238e-06
"Rps16",8.2520922903505e-11,-1.61289399564344,0.632,0.879,2.06087752859213e-06
"Rps27a",9.86012179902259e-11,-1.69611914081136,0.553,0.909,2.4624668180879e-06
"Pfn1",4.9307296840351e-10,-1.505847098916,0.632,0.838,1.23140043129093e-05
"Rpl17",5.199682912704e-10,-1.55089669239469,0.526,0.909,1.2985688106187e-05
"Rpl19",6.25925485564614e-10,-1.46559752546363,0.632,0.859,1.56318630764907e-05
"Myl3",8.58050754511798e-10,1.51890146419655,0.579,0.061,2.14289595431776e-05
"Hbb-bs",8.72318773976975e-10,-2.78852461647555,0.211,0.697,2.1785289061301e-05
"Nppa",9.33812933030274e-10,1.56975490098181,0.474,0.02,2.33210441894981e-05
"Rpl21",1.05853633548856e-09,-1.45323145978821,0.474,0.919,2.64358864424914e-05
"Myl2",1.26180291889696e-09,1.18620333147631,0.632,0.091,3.15122660965327e-05
"Rps13",2.65944693419762e-09,-1.58678449776999,0.526,0.828,6.64170277346515e-05
"Rps28",3.81704637212208e-09,-2.17059761088464,0.211,0.687,9.53269160973769e-05
"Tnnc1",5.42051544570182e-09,1.07520513922845,0.5,0.04,0.000135371952740957
"Rpl3",7.61793526216068e-09,-1.55935143747905,0.421,0.859,0.000190250315237201
"Rpl15",7.63003392389975e-09,-1.75117802550354,0.447,0.717,0.000190552467215472
"Rps2",8.40010083840418e-09,-1.55938511316542,0.684,0.808,0.000209784118338306
"Rpl31",1.74272417197045e-08,-1.34671596374367,0.605,0.859,0.0004352279347079
"Tnnt2",4.43449929715193e-08,1.89258341838887,0.658,0.152,0.00110747185447072
"Rpsa",4.47864283507995e-08,-1.48280466353704,0.632,0.889,0.00111849626163287
"Rps19-ps11",5.72388643342024e-08,0.809046485937888,0.289,0,0.00142948339788237
"Rps12",7.25742449275033e-08,-0.931740816151496,0.5,0.929,0.00181246919281947
"Ppia",9.60791046828773e-08,-1.35214060586431,0.579,0.798,0.00239947956035018
"mt-Rnr2",1.66758812608731e-07,-1.07062374314802,1,1,0.00416463458609046
"Rpl28",1.81709147769546e-07,-1.49424056890424,0.316,0.727,0.00453800425639664
"Rps29",3.09809035150636e-07,-1.04698654652115,0.553,0.899,0.00773717084385197
"Rpl23a",3.97001348014317e-07,-1.17390157101922,0.474,0.869,0.00991471166530954
"Cox6a2",4.81598142325692e-07,1.16276542961522,0.368,0.02,0.0120274320064418
"mt-Rnr1",5.29521017047876e-07,-1.30959459446505,0.789,0.929,0.0132242578797537
"Cebpz",5.49328692450119e-07,0.978222611204812,0.526,0.091,0.0137189347652493
"Ttn",5.87582143678021e-07,1.114568041203,0.421,0.04,0.0146742764562149
"Rpl7a",1.00846660495475e-06,-1.24119452432852,0.632,0.828,0.02518544499214
"Rpl37",2.01347429185135e-06,-1.1592854875604,0.711,0.879,0.0502845069646957
"Fau",2.07968237689686e-06,-1.17208620976251,0.658,0.848,0.0519379876806222
"Rpl18a",2.11883137392754e-06,-1.12839652598692,0.789,0.939,0.0529156947324663
"Ftl1",2.45099218246669e-06,-1.6041979640134,0.395,0.707,0.0612110787649231
"Hnrnpa3",2.80300760559672e-06,-1.55155628765365,0.237,0.636,0.0700023119421724
"Rps17",2.88960517808492e-06,-1.14029376006638,0.579,0.818,0.0721649997174928
"Tpt1",3.04302568076713e-06,-0.861801322168986,0.763,0.96,0.0759965233514782
"Rpl35",3.10051676836642e-06,-1.16326407507808,0.5,0.848,0.0774323057731829
"Mb",3.14897039108178e-06,1.12555501075865,0.474,0.081,0.0786423865468764
"Rps15",3.65701085189758e-06,-0.949880274182247,0.842,0.939,0.0913301890152902
"Myh7",5.2101949312532e-06,0.836696791961879,0.289,0.01,0.130119408213117
"Tnni1",8.40348959281102e-06,0.905858147539546,0.342,0.03,0.209868749090862
"Ftsj1",8.4993830851072e-06,0.616366792059045,0.342,0.03,0.212263593167467
"Rps8",9.91399987829285e-06,-0.876085298861467,0.895,0.909,0.247592232960486
"Rpl27",1.2641172943876e-05,-1.26048556474268,0.395,0.707,0.315700653100359
"Rpl11",1.73574619864989e-05,-0.967410098485911,0.605,0.889,0.433485255650825
"Rps3a3",1.78669940230024e-05,-1.03313806598511,0.158,0.586,0.446210308730462
"Rpl10a",1.95374777497269e-05,-1.24834269405549,0.553,0.697,0.487928969321679
"Actg1",2.85390656696493e-05,-1.21814639336652,0.079,0.465,0.712734626033822
"Rpl27a",2.87778581686484e-05,-0.902667427486189,0.526,0.798,0.718698229903824
"Igf2",3.19916196555007e-05,1.4292061224749,0.5,0.121,0.798958709276474
"Tnfaip2",3.21140152899782e-05,0.82129181144194,0.342,0.04,0.802015417851916
"Gm15730",3.26919080266013e-05,0.603314479561293,0.289,0.02,0.816447711056342
"Chchd6",3.45631046143962e-05,0.619796656123359,0.289,0.02,0.863178974639931
"Pln",3.8316244509308e-05,0.768983106646269,0.316,0.03,0.956909890375457
"Rpl5",3.85920502931717e-05,-1.42380034223079,0.289,0.687,0.963797864021671
"Ccnd2",3.92355382216204e-05,1.63711884719759,0.632,0.253,0.979868331546747
