"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Myl2",2.82271803882448e-204,2.41505687485311,0.739,0.133,7.04945603016026e-200
"Myl3",1.87884555643453e-178,2.11705163107201,0.656,0.101,4.6922288926396e-174
"Rpl13",1.04075782368284e-159,-1.1949233048973,0.834,0.914,2.59918858886552e-155
"Actc1",5.66297257364904e-153,2.08482808911612,0.635,0.117,1.41427077054311e-148
"Mgp",1.2222235384065e-150,-2.41357735449227,0.585,0.876,3.05238106481639e-146
"Pfn1",1.55596233522253e-142,-1.49901891068823,0.501,0.72,3.88586033598474e-138
"mt-Rnr2",4.53933915606937e-140,-0.919605582818441,1,1,1.13365456083676e-135
"Mb",3.77951073585879e-138,1.98143894731275,0.566,0.093,9.43895011173374e-134
"Tnnc1",4.69743977758561e-132,1.66186868247151,0.496,0.063,1.17313861005423e-127
"Rps27",1.53660535531293e-127,-1.4785181082361,0.413,0.815,3.83751821435852e-123
"Tnnt2",2.7074793794434e-125,2.07994107372298,0.668,0.182,6.76165900222195e-121
"Rps23",8.07449955327201e-122,-1.35090746957123,0.503,0.8,2.01652551843415e-117
"Hbb-bs",6.9846568759882e-117,-1.99951052092091,0.248,0.558,1.74434820820929e-112
"Fabp3",4.02337428762422e-116,1.85399637148234,0.485,0.075,1.00479749459127e-111
"Rpl10",2.8696399997775e-114,-1.43422502830909,0.428,0.753,7.16663893544434e-110
"Rpl36",5.59235592953686e-112,-1.49377628820584,0.377,0.69,1.39663496984253e-107
"Ftl1",9.35158982389192e-109,-1.52752967661979,0.351,0.601,2.33546604261877e-104
"Rps6",2.40598552765063e-108,-1.71430394533815,0.245,0.637,6.00870825675468e-104
"Tnni3",7.30802258668321e-105,1.52238001069344,0.421,0.056,1.82510556079827e-100
"H19",7.69585642504835e-97,1.72521242612467,0.606,0.178,1.92196318359158e-92
"mt-Rnr1",1.35578380760338e-95,-1.14388909277829,0.775,0.935,3.38593448110867e-91
"Igf2",8.21652187515911e-93,1.82078129504914,0.501,0.115,2.05199417310224e-88
"Rps27a",1.16688411068693e-91,-1.02876456697943,0.558,0.827,2.91417637802955e-87
"Rps18",2.50841402171896e-90,-1.14737065628029,0.466,0.69,6.26451317784093e-86
"Cst3",8.29352380600463e-90,-1.16665297542009,0.875,0.931,2.0712246353116e-85
