"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps27",9.76077990335787e-40,-1.7848444374676,0.426,0.899,2.4376571730646e-35
"Myl2",8.29480803292325e-39,1.9649477825122,0.721,0.118,2.07154535814225e-34
"Actc1",1.98713532615335e-33,1.81593533770569,0.64,0.098,4.96267176353538e-29
"Pfn1",7.41598211846324e-30,-1.8714889424685,0.368,0.726,1.85206737426501e-25
"Rps23",1.32071437229968e-29,-1.50503388317124,0.441,0.839,3.29835207338122e-25
"Myl3",3.38425344522755e-29,1.54136655058023,0.61,0.106,8.45183455411128e-25
"Rpl13",4.97002439073791e-29,-1.10258692377923,0.838,0.92,1.24121389134289e-24
"Rps16",5.89939273828377e-29,-1.29511130926638,0.676,0.819,1.47331434245899e-24
"Rpl36",8.58704231533858e-28,-1.76807111612945,0.338,0.751,2.14452794783266e-23
"mt-Rnr1",1.68347606568912e-25,-1.65826940161741,0.765,0.935,4.20431312645202e-21
"Rps6",1.93093767454883e-25,-1.83564988432181,0.213,0.691,4.82232374841826e-21
"Hbb-bs",5.3326435752163e-25,-2.7972500075278,0.206,0.618,1.33177440647452e-20
"Tnnc1",1.57924741901936e-24,1.42116468750862,0.456,0.053,3.94401250425895e-20
"Fau",5.84947027193933e-24,-1.31466404969503,0.485,0.791,1.46084670571413e-19
"Mgp",9.89039437595735e-24,-1.93557455021467,0.765,0.935,2.47002709145159e-19
"Rps27a",1.19723200369455e-23,-1.24684110955601,0.507,0.872,2.98996720602677e-19
"mt-Rnr2",5.33975050775463e-23,-1.0253903191102,1,1,1.33354929180664e-18
"Rps19-ps11",2.73686032103041e-21,0.807006237682654,0.257,0.003,6.83503496574134e-17
"Rps28",2.9076388777605e-21,-1.61639594147057,0.206,0.626,7.26153733331907e-17
"Rpl10",1.14229720968638e-20,-1.42101161644229,0.426,0.776,2.85277305147077e-16
"Eln",3.04255084677609e-20,-1.46526639266158,0.868,0.879,7.59846648473861e-16
"Rpl36a",3.69172684083957e-20,-1.30907162124726,0.397,0.734,9.21971861231275e-16
"Rpl17",4.56932796174571e-20,-1.19165159895902,0.537,0.827,1.14114396516637e-15
"Cxcl1",4.93155978497727e-20,2.72775887703983,0.581,0.193,1.23160774070022e-15
