"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps27a",3.65810141539501e-88,-2.08773981920711,0.475,0.945,9.13574247480749e-84
"Ftl1",2.05521869793113e-70,-2.47451900458179,0.81,0.904,5.1327031762132e-66
"Fau",6.74797629142306e-65,-1.79508414598014,0.595,0.878,1.68523959902e-60
"Pfn1",6.18628392391836e-64,-1.72254961989917,0.778,0.899,1.54496254715937e-59
"Rpl13",8.61511282330266e-62,-1.73268659918376,0.696,0.886,2.15153827649161e-57
"Rps29",9.09294600085466e-60,-1.73360891068826,0.392,0.921,2.27087233425344e-55
"Rps23",4.71313917803947e-57,-2.11001355502747,0.354,0.828,1.17705937832358e-52
"Myl2",1.5879449136641e-55,2.19519518637475,0.778,0.137,3.96573362738472e-51
"Myl3",5.77168642269834e-52,2.00855098534263,0.658,0.079,1.44142096720468e-47
"Actc1",2.57128806048995e-51,1.99636609338971,0.696,0.101,6.42153480226759e-47
"Rps27",3.04869464159924e-47,-2.02178528489652,0.291,0.828,7.61380999792995e-43
"Rpl10",4.80684744881957e-47,-1.9993772033588,0.367,0.785,1.2004620818682e-42
"Tnnt2",6.46656479711045e-45,1.87957823138632,0.734,0.152,1.61495989243036e-40
"Rpl19",1.91865572022308e-44,-1.51724221655453,0.525,0.751,4.79165079568512e-40
"Rpl17",5.19115156848636e-44,-1.72210662336119,0.411,0.769,1.29643819271378e-39
"Rpl11",7.27199330314392e-43,-1.4949578478652,0.462,0.856,1.81610760752716e-38
"Rps18",8.09497067525213e-42,-1.74734428849149,0.424,0.73,2.02163797643747e-37
"Rpl9",2.65814900424395e-41,-1.61712060489473,0.291,0.816,6.63846132319884e-37
"Rps16",1.38190344428829e-40,-1.34172933478982,0.646,0.762,3.45116566176558e-36
"Iigp1",1.8705336019999e-40,1.95222945904815,0.373,0.01,4.67147061763456e-36
"Tpt1",2.09029332825957e-40,-1.20509903180299,0.715,0.831,5.22029855799544e-36
"Rpl21",5.20858330207633e-39,-1.87111108448255,0.215,0.747,1.30079159386054e-34
"Rps13",6.08248814297227e-39,-1.41800720220974,0.487,0.794,1.51904058882589e-34
"Rps12",2.39232962981036e-38,-1.34010162139824,0.342,0.857,5.97460401748838e-34
"Mb",2.88965300052833e-38,1.41340023752462,0.563,0.084,7.21661940351946e-34
"Rps2",4.81501096087675e-37,-1.49748039938854,0.601,0.749,1.20250083736936e-32
"Rpl36",5.96704963577485e-37,-1.81254669459946,0.342,0.741,1.49021097603841e-32
"Rpl31",1.23837038551729e-36,-1.50761503674074,0.456,0.78,3.09270620079089e-32
"Gbp2",1.68108423397881e-36,2.12771595243345,0.5,0.064,4.19833976593867e-32
"Rps6",1.85662211905907e-36,-2.10977118613497,0.152,0.644,4.63672808013813e-32
"Tnnc1",4.5104156687724e-36,1.41917932236067,0.525,0.072,1.12643120911922e-31
"Rps19-ps11",9.74182507018299e-36,0.842482184270108,0.323,0.007,2.4329233930275e-31
"Nme2",1.15014144049866e-35,0.90371618767592,0.462,0.051,2.87236323350135e-31
"Rps8",2.97076951378212e-35,-0.976296658457625,0.804,0.891,7.41919978371946e-31
"Myh6",4.86087902261483e-35,1.65047652609284,0.595,0.112,1.21395592710783e-30
"Rps28",2.77989990150346e-34,-2.03943947704146,0.146,0.602,6.94252201401475e-30
"Ppia",2.48074201892669e-33,-1.54528598566518,0.481,0.672,6.19540511806752e-29
"Rpl28",1.85574127770113e-32,-2.07300768095802,0.076,0.551,4.6345282669308e-28
"Rpl3",4.01295557286024e-32,-1.59536430173856,0.278,0.717,1.00219552476612e-27
"Nppa",6.48801956821292e-32,1.19384796604217,0.449,0.054,1.6203180069655e-27
"Gm9800",1.71815323874333e-31,1.42044318798451,0.557,0.108,4.2909158984376e-27
"Gbp7",6.89971812459681e-31,1.88680810529966,0.62,0.162,1.72313560443681e-26
"Gbp4",7.3429852634479e-31,1.13774828342334,0.31,0.011,1.83383713969348e-26
"Rps17",1.23255777327678e-30,-1.28978042327873,0.456,0.735,3.07818978298143e-26
"Tnni3",1.38113768437573e-29,1.11963809605399,0.468,0.078,3.44925325295995e-25
"Rpl27a",8.03889356182411e-29,-1.36536394016711,0.399,0.708,2.00763327812995e-24
"Atp7a",3.490394204253e-27,0.783216016716399,0.38,0.046,8.71691048570145e-23
"Rpl36a",6.38697475987827e-27,-1.55040012700227,0.335,0.637,1.595083076532e-22
"Rpl7a",1.06085936612008e-26,-1.05181278687622,0.57,0.695,2.64939018094829e-22
"Ttn",1.10015611577571e-26,1.68172537330375,0.487,0.093,2.74752988353825e-22
"Gbp9",1.11423627621713e-26,0.937200629530237,0.335,0.029,2.78269367622465e-22
"Mnda",2.48380777604323e-26,0.666400472642682,0.443,0.094,6.20306153989036e-22
"Gbp3",2.49088404326397e-26,1.19720916134513,0.418,0.061,6.22073380964745e-22
"Rpsa",2.77179953559559e-26,-1.1152106405599,0.538,0.765,6.92229216019642e-22
"Rpl23a",2.12215762640352e-25,-1.10616710424694,0.38,0.765,5.29987645618015e-21
"Gbp5",3.21716360201556e-25,1.13766735896334,0.297,0.019,8.03454437967365e-21
"1600014C10Rik",7.44513240279055e-25,1.12867270249683,0.456,0.087,1.85934736627291e-20
"Rpl34",2.6828943689777e-24,-1.0482905420277,0.475,0.568,6.70026039708491e-20
"Stat1",2.78736918262186e-24,1.05141446330484,0.506,0.119,6.96117579667983e-20
"Rpl27",7.17037429036693e-24,-1.43212531752901,0.247,0.601,1.79072927527624e-19
"Psmb9",7.6175420775903e-24,0.932016441048064,0.62,0.199,1.9024049584574e-19
"Fabp3",1.27408823305918e-23,1.38823511493021,0.468,0.098,3.18190795324199e-19
"Hspa8",2.19660036365787e-23,-1.26765729590213,0.443,0.542,5.48578974819917e-19
"Gm8995",4.77850174514768e-23,1.19273573811003,0.633,0.212,1.19338302583318e-18
"Psmb10",1.36449349439861e-22,0.711833808067317,0.627,0.223,3.4076860529111e-18
"Ifi47",1.42174525258975e-22,0.7444842215774,0.323,0.042,3.55066659381765e-18
"Cox7b",5.96905144348471e-22,1.0982854299142,0.848,0.544,1.49071090749587e-17
"Rpl37",1.61874862661254e-21,-0.946653383500535,0.715,0.78,4.04266282010216e-17
"Atp5l",4.03795546222363e-21,0.509826300419491,0.38,0.082,1.00843899713573e-16
"Rpl5",6.05908560986651e-21,-1.47007655088084,0.215,0.561,1.51319604020806e-16
"Thoc2",1.26121561912859e-20,0.590867362225806,0.544,0.19,3.14975988721174e-16
"Igtp",1.83129503446152e-20,0.761758578948682,0.259,0.022,4.57347621906419e-16
