"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gnas",9.75251443108456e-29,1.22837994103313,0.957,0.907,2.43559295401906e-24
"Pfn1",5.31713030274728e-23,-1.73094848132699,0.441,0.757,1.3279001218081e-18
"mt-Rnr1",7.30575861106364e-20,-1.37550812335827,0.774,0.962,1.82454015552703e-15
"Hbb-bs",1.19524655896485e-19,-2.29126692194477,0.161,0.627,2.98500875635882e-15
"Myl2",1.26660841799298e-19,1.87173910055356,0.699,0.205,3.16322786309567e-15
"Rpl13",1.79724156707967e-19,-1.14775963992235,0.785,0.907,4.48843108962476e-15
"Rpl10",5.37824721140255e-18,-1.77831485993318,0.301,0.675,1.34316345857567e-13
"Fabp3",1.07546715180439e-17,1.88408985765597,0.527,0.104,2.68587166491629e-13
"Rpl36",2.02006978088923e-17,-1.62069807993869,0.387,0.695,5.04492227079276e-13
"Rps27",3.98987466255222e-17,-1.45660766139656,0.473,0.815,9.9643129822579e-13
"H19",2.28555639315041e-16,2.06257350132413,0.71,0.313,5.70794853625382e-12
"Vim",3.58226188608247e-16,1.07734252106816,0.968,0.79,8.94634083430237e-12
"Malat1",7.47157853060511e-16,-0.911410792009274,0.968,0.991,1.86595202223332e-11
"Rps23",1.30748021319823e-15,-1.28789124705192,0.441,0.799,3.26530108444127e-11
"Actc1",3.19449811816955e-15,1.8126789880538,0.548,0.141,7.97793960031663e-11
"Tnnt2",7.93288964971052e-15,1.8253946064973,0.667,0.252,1.98115986111871e-10
"Fau",8.31006453724477e-15,-1.31501140072985,0.484,0.74,2.07535551753151e-10
"mt-Rnr2",8.53099514610395e-15,-0.879288814611568,1,1,2.130530727788e-10
"Mgp",2.3200795274646e-14,-1.54242221166251,0.247,0.669,5.79416661189009e-10
"Myl3",2.42121964585366e-14,1.84311740363006,0.516,0.128,6.04675394355494e-10
"Lgals1",7.31941790852705e-14,1.33906853173914,0.849,0.539,1.82795142847555e-09
"Tnnc1",9.4351146780917e-14,1.52549552428689,0.452,0.095,2.35632553970662e-09
"Hspa8",1.08452344105164e-13,-1.57601435224346,0.301,0.576,2.70848884168237e-09
"Rps27a",1.91295136588377e-13,-1.04355326422748,0.538,0.808,4.77740474115814e-09
"Tpx2",2.99980872445161e-13,1.30264381678817,0.258,0.018,7.49172230844546e-09
"Rps2",4.49619546016794e-13,-1.17640031710127,0.538,0.693,1.12287985422234e-08
"Rps6",5.30244502064052e-13,-1.4523512105346,0.366,0.64,1.32423261945476e-08
"Rps16",5.85974533541997e-13,-1.20227184281288,0.527,0.728,1.46341280006778e-08
"Ftl1",9.01219508365327e-13,-1.5664484511218,0.247,0.545,2.25070560019157e-08
"Mki67",1.2556894659301e-12,1.79564316788724,0.312,0.04,3.13595887221384e-08
"Ly6c1",1.41895437063662e-12,-1.28347755656093,0.441,0.744,3.54369664522788e-08
"Nppa",1.61416854581426e-12,1.13327569007183,0.29,0.031,4.03122452631652e-08
"Top2a",2.45577253850503e-12,1.84086098878379,0.344,0.057,6.13304633766245e-08
"Smc2",2.81349371086266e-12,1.69924881265535,0.409,0.097,7.0264191935084e-08
"Ankrd1",8.65353663470757e-12,1.30087667436709,0.28,0.031,2.16113423915187e-07
"Cox7b",8.70472068301673e-12,1.21996143488192,0.785,0.466,2.1739169433766e-07
"Iigp1",1.24327016342439e-11,2.52847483010577,0.323,0.088,3.10494290613607e-07
"Cst3",1.31231812442204e-11,-0.92729640106532,0.699,0.874,3.27738328393161e-07
"Cxcl12",1.47256962342874e-11,-1.90723291557624,0.215,0.572,3.67759537755093e-07
"Rpl17",1.62696453592806e-11,-1.23865221466294,0.376,0.704,4.06318123202673e-07
"Atp5a1",3.04136970080014e-11,1.07670773100129,0.785,0.413,7.59551669077827e-07
"Cenpe",5.28880258741994e-11,1.55429040967792,0.269,0.033,1.32082555818226e-06
"Sparcl1",6.21164922114741e-11,-0.656638045733972,0.935,0.96,1.55129727648935e-06
"Txn1",8.21970371031644e-11,1.00783009920645,0.839,0.554,2.05278880461443e-06
"Rpl9",9.92598461964049e-11,-1.00003387589901,0.462,0.77,2.47891539890902e-06
"Ptma",1.00793240819007e-10,-0.733000627244246,0.731,0.764,2.51721039621389e-06
"Cdk1",1.02611403430791e-10,0.962926903645377,0.28,0.038,2.56261718928058e-06
"Fabp7",1.62102053169861e-10,1.29443294534221,0.387,0.091,4.04833667586411e-06
"Tagln2",2.3663608175501e-10,0.928246839078779,0.903,0.695,5.90974950574963e-06
"Rps28",2.91231795258437e-10,-1.28746179498806,0.194,0.517,7.27322285478421e-06
"Incenp",3.90474374502852e-10,0.869272374102685,0.258,0.033,9.75170702883422e-06
"Psmb4",4.1043970818053e-10,0.870438519242497,0.688,0.32,1.02503212721006e-05
"Tnni3",5.49705248461082e-10,1.23115066901373,0.366,0.084,1.37283388750671e-05
"Fabp4",6.82921302366643e-10,-0.477049206907253,0.677,0.929,1.70552766053045e-05
"Ppia",9.29489856133284e-10,-0.986427855887994,0.527,0.755,2.32130796670726e-05
"Rpl21",9.56885946475856e-10,-1.04454926092455,0.398,0.737,2.3897269627288e-05
"Cks1b",1.74203050419628e-09,1.21253577857879,0.355,0.084,4.35054698117979e-05
