"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps27",4.48155847869533e-09,-3.28703919358792,0.143,0.938,0.000111922441446937
"Rpl11",1.29821503332468e-06,-2.38882264393432,0.429,0.922,0.0324216222422506
"Rps16",1.97410437085183e-06,-2.51168485907511,0.429,0.891,0.0493012825576535
"Rps13",3.21248251677512e-06,-2.14956398095964,0.357,0.922,0.0802285383739419
"Actc1",4.13473702290159e-06,1.60832116745336,0.643,0.047,0.103260922409944
"Rps23",6.12572097674381e-06,-2.89195634645128,0.143,0.812,0.1529837556732
"Mdh2",1.21932900067792e-05,1.12701926986996,0.857,0.219,0.304515224629304
"Ptbp3",1.6209710410131e-05,1.27204586698409,0.929,0.281,0.404821307782612
"Rps6",2.06651489082344e-05,-3.37078651628447,0.143,0.719,0.516091428834245
"Myl2",2.50039419632698e-05,1.67780474396721,0.714,0.109,0.6244484465907
"Sptssa",3.37261315824392e-05,0.923557768060409,0.643,0.094,0.842276410139838
"Rpl27",3.77597504712771e-05,-3.08836272001612,0.071,0.656,0.943012008269675
"Rpl36",5.04558960329144e-05,-2.87971906927325,0.143,0.734,1
"Scaf11",6.57198111250358e-05,1.61308458846634,0.714,0.125,1
"Txnrd1",7.43351394359912e-05,1.5135247145799,0.5,0.031,1
"Rpl19",7.71738536370985e-05,-1.88856154671389,0.214,0.812,1
"Gbp2",8.53426549389843e-05,1.92190675218074,0.5,0.031,1
"Pfn1",9.57632236463008e-05,-2.14880391238474,0.5,0.875,1
"Rpl13",0.0001004992638708,-1.71489830151239,0.714,0.906,1
"Tpx2",0.000100965189796999,2.09260910257489,0.5,0.031,1
"Rps27a",0.000110542491659264,-1.87148811647751,0.5,0.875,1
"Myl3",0.000135004984738159,1.85388220153537,0.571,0.062,1
"Exoc4",0.00014483537217195,1.47607186193317,0.429,0.016,1
"Rps12",0.000159205742892592,-1.58447536375983,0.357,0.891,1
"Rps29",0.000180879779298469,-1.72549394450375,0.429,0.891,1
"Cdc42",0.000198484388734693,-0.0369530650642007,1,0.578,1
"Cyc1",0.000202880467683022,1.27453293498254,0.643,0.109,1
"Snhg5",0.000221831896821278,1.39562110830334,0.5,0.047,1
"Rps28",0.00023289855488945,-2.64772020561656,0.071,0.641,1
"Lmbr1l",0.000240825058392932,1.36568419292453,0.286,0,1
"Spc24",0.000240825058392932,1.36945128297497,0.286,0,1
"Bend5",0.000240825058392936,1.42736271845434,0.286,0,1
"Fen1",0.000240825058392936,1.30219944903885,0.286,0,1
"Letm1",0.000240825058392936,1.84651515247203,0.286,0,1
"Igkj1",0.000240825058392936,1.10684040994085,0.286,0,1
"Chchd10",0.000249398516568897,0.649038247658694,0.5,0.062,1
"Top2a",0.000333927111893206,2.13214067214833,0.571,0.078,1
"Acadl",0.000343889651985642,0.896010458952742,0.571,0.094,1
"Hbb-bs",0.000482597097033618,-2.50015652650122,0.214,0.609,1
"Rpl23a",0.0004955434175876,-2.05075161820661,0.357,0.812,1
"Phip",0.000517860512168836,1.14457026461233,0.643,0.141,1
"Fau",0.000602159199943952,-1.4411050334919,0.643,0.906,1
"Tnnc1",0.000621025390676149,1.50712699360579,0.429,0.031,1
"Map3k1",0.000636831996727091,1.54306690341737,0.429,0.031,1
"Rpl9",0.00067679750044366,-2.07232916540561,0.429,0.734,1
"Ankrd44",0.000682272889713561,1.88847903259319,0.429,0.031,1
"Rbm26",0.000687108694553221,1.73214590718481,0.429,0.031,1
"Smc2",0.000816870257216395,2.30459118414109,0.5,0.062,1
"Orc6",0.000850402562531721,1.99268791384356,0.357,0.016,1
"Sh3kbp1",0.00103188116635637,0.103429578593128,0.643,0.234,1
"Fgd2",0.00108017107268522,1.30538530008056,0.357,0.016,1
"Ifi204",0.00117716658169663,1.42985180811088,0.357,0.016,1
"Rpl17",0.00128848605500804,-1.81098083362923,0.429,0.781,1
"Lrmp",0.00130752483932314,1.30582582244889,0.5,0.078,1
"Rpl28",0.0015586165428066,-2.38852008611589,0.071,0.562,1
"Psmd7",0.00172894616261404,1.00526862694406,0.643,0.172,1
"Rps11",0.00183572351494191,-0.726396392203184,1,0.891,1
"Rpl36a",0.00184211711835225,-1.75140819643438,0.286,0.766,1
"Bod1l",0.00186753795775472,1.08789213531539,0.714,0.219,1
"Immt",0.00191550030970601,1.48673458452274,0.5,0.078,1
"Hnrnpk",0.00199074248348852,0.0428601562307116,0.786,0.375,1
"Serpinb1a",0.00201290887172586,1.52125028135838,0.5,0.078,1
"Rps26-ps1",0.0020281692696625,-2.11968218647391,0,0.344,1
"Epc2",0.00206224533507533,1.57882500981578,0.429,0.047,1
"Chchd2",0.00228334019192406,0.0685227902451606,0.929,0.547,1
"Rps18",0.00230263777253654,-1.65106874077188,0.571,0.812,1
"H2-Eb1",0.00233478951023026,1.48072019117432,0.571,0.125,1
"S100a11",0.0025188310086042,1.23171658201702,0.786,0.297,1
"Adss",0.00252515213640458,0.500050373581811,0.571,0.172,1
"Ak2",0.00253737305421531,0.814893023260029,0.571,0.141,1
"Ccar1",0.00269573241687735,1.70913143189898,0.571,0.125,1
"Rfc1",0.00272966213899359,1.69477609465059,0.571,0.125,1
"Tcerg1",0.00273562130270144,1.61599814979014,0.571,0.125,1
"Trac",0.00274260855718372,-2.9316439921178,0,0.328,1
"Dbnl",0.00276297186150868,0.98754408641311,0.5,0.094,1
"Rpl21",0.00286521386864588,-1.78646104449409,0.357,0.734,1
"Fmr1",0.00288777836085167,1.01758512221492,0.429,0.062,1
"Rpl37",0.00308932285308454,-1.43470103480186,0.5,0.875,1
"Casp8ap2",0.00314003449035506,1.1553623427916,0.429,0.062,1
"Mitd1",0.00314576705145353,0.904794988186357,0.357,0.031,1
"Lmo4",0.00327780691511299,0.479784922085618,0.5,0.125,1
"Aldh2",0.00328403243047112,1.03282718520232,0.5,0.094,1
"Rpl3",0.00334927522985495,-1.58780933616481,0.357,0.797,1
"Rpl37a",0.00340727614089334,-1.56591512330436,0.571,0.812,1
"Sell",0.00369004663874668,-2.3040135210693,0,0.312,1
"Zrsr2",0.00372374281204246,0.509659867007873,0.5,0.109,1
"Sh3bgrl3",0.00385548948099483,0.091262284320321,0.857,0.469,1
"Rpl10",0.003977690469969,-1.9727021246548,0.214,0.672,1
"Tapbpl",0.00399378591711716,0.435986895643559,0.357,0.047,1
"Usp8",0.00404651905610925,0.662399680162822,0.429,0.078,1
"Ggnbp2",0.00406960605859191,1.63433810198198,0.5,0.094,1
"Morc3",0.00408193337533809,1.51115244055744,0.5,0.094,1
"Usp1",0.00422378712628359,1.76173931175263,0.357,0.031,1
"Gm11942",0.0042306626169245,0.432238266651561,0.857,0.422,1
"Stk4",0.00446919967649526,0.587098470267206,0.571,0.172,1
"Cwf19l2",0.00447422183439417,1.32516280118645,0.429,0.062,1
"Rps17",0.00451048859822893,-2.04972777925239,0.357,0.688,1
"Fkbp3",0.0045350479066139,-0.00359006455341815,0.714,0.359,1
"Psmb6",0.00455369930307424,0.458494110088016,0.643,0.234,1
"Spop",0.00458541884295405,0.206378986994366,0.571,0.203,1
"Dek",0.00460958696843592,1.14425419178204,0.857,0.391,1
"Cks1b",0.00478912354574619,1.77221432534245,0.429,0.062,1
"Cdc42se2",0.00492348268704508,1.35976147502909,0.429,0.062,1
"Psmc5",0.00521969093031627,0.713199134715085,0.429,0.078,1
"Plac8",0.00524612445285755,0.188428694679292,0.786,0.359,1
"Bccip",0.00540425425136291,1.06710729851986,0.5,0.109,1
"Hif1a",0.00556145341336936,1.07044566326685,0.5,0.109,1
"Ftl1",0.00563823822567567,-2.03469900216847,0.071,0.5,1
"Filip1l",0.00568115268412636,0.993204260016654,0.5,0.109,1
"BC029214",0.00600852264871906,0.809647515977145,0.286,0.016,1
"Smc6",0.00603011329567721,0.492261733560263,0.571,0.188,1
"Hnrnpc",0.00606822194041796,0.876181526627842,0.786,0.328,1
"Vim",0.00610803356113454,0.0786454717665848,0.929,0.562,1
