,gene name,influence score
0,Xkr4,0.0002953312998457069
1,Gm1992,0.0
2,Gm37381,2.6073731449679298e-05
3,Rp1,0.0002542215438563038
4,Sox17,0.001105889890486549
5,Gm37323,0.000936080610377711
6,Mrpl15,0.001681136071428142
7,Lypla1,0.0016374466031221046
8,Gm37988,0.0016374466031221046
9,Tcea1,0.0016374466031221046
10,Gm16041,0.0004261327733173748
11,Rgs20,0.0009655873987029181
12,Atp6v1h,0.0011167362693850322
13,Oprk1,0.0
14,Npbwr1,0.0
15,Rb1cc1,0.00038088239039169096
16,4732440D04Rik,0.00038088239039169096
17,Alkal1,0.00035468129382651767
18,St18,1.862201554267904e-05
19,Pcmtd1,0.00045114115631788123
20,Gm26901,0.0021997136894613685
21,Gm30414,0.0
22,Sntg1,0.0
23,Rrs1,0.002647926900005132
24,Adhfe1,0.002647926900005132
25,3110035E14Rik,0.002647926900005132
26,Gm29520,0.0030626984475943604
27,Mybl1,0.0037059948577421956
28,1700034P13Rik,0.002998111525936934
29,Vcpip1,0.002998111525936934
30,Sgk3,0.0030753633677314844
31,Mcmdc2,0.0014885553899155492
32,Snhg6,0.002243723287956401
33,Tcf24,0.0021664714461618506
34,Gm15818,0.0021664714461618506
35,Ppp1r42,0.0021664714461618506
36,Cops5,0.0021664714461618506
37,Cspp1,0.0021664714461618506
38,Arfgef1,0.0005375002700192255
39,Cpa6,0.0
40,Prex2,0.000570922394108045
41,A830018L16Rik,0.00015333607881913452
42,Gm17644,0.000322356003771501
43,Gm29663,0.000322356003771501
44,Sulf1,0.00038286521507734073
45,Slco5a1,0.0009723701555577184
46,Gm29283,0.0
47,Prdm14,0.00011252588210553556
48,Ncoa2,0.00011252588210553556
49,Gm29570,0.0033177521741250843
50,Tram1,0.0020418148112812907
51,Lactb2,0.0020418148112812907
52,Xkr9,0.0020418148112812907
53,Eya1,0.0001939846726358437
54,Gm9947,0.0001312278899522963
55,Msc,0.0001312278899522963
56,Trpa1,0.0
57,Kcnb2,0.0
58,Terf1,0.0006848910283921648
59,Sbspon,0.0006848910283921648
60,4930444P10Rik,0.0014445818322804244
61,Rpl7,0.0014445818322804244
62,Rdh10,0.0014445818322804244
63,Gm28095,0.00026906192268680567
64,Gm7568,0.00015053902040359693
65,Stau2,0.0002953978852444802
66,Ube2w,0.0021844921095279476
67,Eloc,0.002640097796496742
68,D030040B21Rik,0.002640097796496742
69,Tmem70,0.002640097796496742
70,Ly96,0.002616064297232124
71,Gm28376,0.00010545750857461042
72,Jph1,0.0
73,Gm28783,0.0003940180839978497
74,Gdap1,0.0003940180839978497
75,Gm28784,0.0003940180839978497
76,Pi15,2.9651978594881298e-05
77,Gm28154,8.415908530733085e-05
78,Crispld1,5.450710671244956e-05
79,Gm16070,5.450710671244956e-05
80,Gm28153,5.450710671244956e-05
81,Crisp4,0.0
82,Defb18,0.0
83,Defb41,0.0
84,Tfap2d,0.0
85,Gm15825,0.0
86,Tfap2b,0.0
87,Gm28340,0.0
88,4930486I03Rik,0.0
89,Pkhd1,0.0
90,Gm28653,0.00022027756717085426
91,Il17a,0.0006467115656351818
92,Il17f,0.0005426554470841637
93,Mcm3,0.0009611104825508153
94,Gm28065,0.0013574278286514402
95,6720483E21Rik,0.002356775142683739
96,Paqr8,0.002356775142683739
97,Efhc1,0.0020161975565971707
98,Tram2,0.003749275321594356
99,Gm28287,0.0029408268425929734
100,Tmem14a,0.0005932200188017115
101,Gsta3,0.0005932200188017115
102,Gm28836,0.0004924468060131117
103,Khdc1a,0.00013393699194340808
104,Khdc1c,0.00013393699194340808
105,Khdc1b,6.691551357023387e-05
106,Kcnq5,0.0
107,Gm26580,0.0008801023967855033
108,Rims1,0.0
109,4933415F23Rik,0.0010152354681034889
110,Gm27028,0.0007029223439691903
111,Gm29107,0.0007029223439691903
112,Ogfrl1,0.000233449778559411
113,Gm28822,0.0
114,B3gat2,0.00014127072685621506
115,Smap1,0.001751656473875914
116,Sdhaf4,0.002645255416851648
117,Fam135a,0.0010626089142388444
118,Col9a1,0.0010626089142388444
119,Col19a1,2.2040147938736293e-05
